044800142|004|1|1|1|||||||29112014|||02122014|||
044800179|004|1|1|1|||||||08072011|||12072011|||
044800294|004|1|1|1|||||||31122014|||04012015|||
044801596|004|1|1|1|||||||05072011|||09072011|||
044801950|004|1|1|1|||||||03092013|||
044801974|004|1|1|1|||||||10102013|||14102013|||
044802578|004|1|1|1|||||||02042015|||07042015|||
044802700|004|1|1|1|||||||19062012|||22062012|||
044802754|004|1|1|1|||||||15092014|||19092014|||
044802969|004|1|1|1|||||||07112013|||23112013|||
044803097|004|1|1|1|||||||25102011|||27102011|||
044803171|004|1|1|1|||||||19072011|||22072011|||
044803227|004|1|1|1|||||||24032015|||26032015|||
044803593|004|1|1|1|||||||14122011|||16122011|||
044803864|004|1|1|1|||||||21072011|||23072011|||
044803870|004|1|1|1|||||||07072014|||10072014|||
044804040|004|1|1|1|||||||08072011|||15072011|||
044804175|004|1|1|1|||||||03012015|||07012015|||
044804793|004|1|1|1|||||||21102011|||24102011|||
044805523|004|1|1|1|||||||13042015|||16042015|||
044805674|004|1|1|1|||||||24082014|||26082014|||
044806170|004|1|1|1|||||||11082011|||18082011|||
044806253|004|1|1|1|||||||12032014|||14032014|||
044806376|004|1|1|1|||||||24102011|||26102011|||
044806799|004|1|1|1|||||||24112014|||16122014|||
044807716|004|1|1|1|||||||31082012|||11092012|||
044807842|004|1|1|1|||||||14032013|||18032013|||
044807946|004|1|1|1|||||||24102013|||29102013|||
044808042|004|1|1|1|||||||30062011|||05072011|||
044808402|004|1|1|1|||||||18012014|||22012014|||
044808491|004|1|1|1|||||||18042015|||21042015|||
044809042|004|1|1|1||||||||||14052014|||
044809436|004|1|1|1|||||||07102014|||30102014|||
044809508|004|1|1|1|||||||28122014|||02012015|||
044809535|004|1|1|1|||||||07112011|||14112011|||
044809615|004|1|1|1|||||||20122011|||22122011|||
044809792|004|1|1|1||||||||||20102011|||
044810043|004|1|1|1|||||||25052012|||29052012|||
044810148|004|1|1|1|||||||01062013|||08062013|||
044810180|004|1|1|1|||||||24112014|||11032015|||
044810214|004|1|1|1||||||||||22112011|||
044810470|004|1|1|1|||||||14062014|||21062014|||
044810881|004|1|1|1|||||||27102011|||03112011|||
044811635|004|1|1|1|||||||28102013|||30102013|||
044812150|004|1|1|1|||||||21032014|||23032014|||
044812275|004|1|1|1|||||||22032012|||24032012|||
044812349|004|1|1|1|||||||21112013|||26112013|||
044812373|004|1|1|1|||||||19092011|||24092011|||
044812419|004|1|1|1|||||||01112011|||03112011|||
044812708|004|1|1|1|||||||13092011|||22092011|||
044812925|004|1|1|1|||||||28082012|||31082012|||
044813098|004|1|1|1|||||||21092012|||25092012|||
044813107|004|1|1|1|||||||15102011|||25102011|||
044813701|004|1|1|1|||||||02052013|||04052013|||
044813786|004|1|1|1|||||||02042015|||09042015|||
044813810|004|1|1|1|||||||19122014|||27122014|||
044813814|004|1|1|1|||||||24082011|||26082011|||
044813907|004|1|1|1|||||||15092011|||22092011|||
044813957|004|1|1|1|||||||03102012|||05102012|||
044813970|004|1|1|1|||||||22012014|||09022014|||
044814058|004|1|1|1|||||||08082014|||11082014|||
